FirstImage,SecondImage,NonZeroR,NonZeroG,NonZeroB,Matches0.5,Matches0.6,Matches0.7,Matches0.8,Matches0.9,Matches1.0,Matches
jazz/Chinese,pop/Don't,254386,250940,256833,0,0,9,23,103,429,468
jazz/Chinese,pop/For,248045,241419,250244,0,0,2,22,114,426,468
jazz/Chinese,pop/I,213570,204807,215066,1,1,11,26,105,427,468
jazz/Chinese,pop/i,277562,272826,279738,0,0,1,10,80,412,468
jazz/Chinese,pop/Let's,182634,176102,185033,0,1,5,19,104,425,468
jazz/Chinese,pop/Set,244535,239192,247882,0,3,6,20,104,418,468
jazz/Chinese,pop/The,197773,191476,198838,0,1,7,29,115,424,468
jazz/Chinese,pop/We'll,256380,245437,256887,0,2,6,33,119,436,468
jazz/Colonially,pop/Day,266359,257571,268359,1,2,8,40,128,410,442
jazz/Colonially,pop/Don't,263637,253911,266662,0,1,4,20,99,397,442
jazz/Colonially,pop/For,260278,246504,262647,0,2,6,32,122,409,442
jazz/Colonially,pop/I,239074,224826,240817,0,0,3,28,121,405,442
jazz/Colonially,pop/i,282561,270985,285116,0,0,2,32,129,414,442
jazz/Colonially,pop/Let's,226679,217609,229452,0,0,1,16,106,413,442
jazz/Colonially,pop/Set,258261,245951,262219,0,0,9,33,124,407,442
jazz/Colonially,pop/The,233524,223697,234887,0,1,7,29,104,406,442
jazz/Colonially,pop/We'll,268915,249147,269610,0,1,9,36,138,413,442
jazz/Michael,pop/Day,265153,254776,266999,0,0,3,17,83,401,434
jazz/Michael,pop/Don't,262171,251646,264585,0,0,4,21,94,388,434
jazz/Michael,pop/For,257898,242182,259961,0,0,4,32,117,401,434
jazz/Michael,pop/I,240837,224529,242311,0,0,5,12,82,393,434
jazz/Michael,pop/i,281880,269097,284192,0,0,5,17,105,396,434
jazz/Michael,pop/Let's,225868,215096,228265,0,0,7,23,109,391,434
jazz/Michael,pop/Set,256361,242546,259575,0,0,4,19,91,400,434
jazz/Michael,pop/The,228120,216210,229470,0,0,1,21,111,405,434
jazz/Michael,pop/We'll,261958,238937,262459,0,2,9,30,118,404,434
jazz/Nadejda,pop/Day,256936,252803,257925,0,0,14,39,119,371,403
jazz/Nadejda,pop/Don't,254867,250731,256152,1,3,11,25,95,362,403
jazz/Nadejda,pop/For,248635,241308,249699,0,1,7,25,109,378,403
jazz/Nadejda,pop/I,213461,204769,214285,0,0,3,22,120,371,403
jazz/Nadejda,pop/i,277976,272844,279124,0,0,4,27,127,376,403
jazz/Nadejda,pop/Let's,181337,174942,182892,0,1,8,22,99,368,403
jazz/Nadejda,pop/Set,245970,240667,247825,0,0,5,30,100,372,403
jazz/Nadejda,pop/The,191114,183997,191901,0,3,8,29,124,379,403
jazz/Nadejda,pop/We'll,251682,240836,251925,0,2,11,49,138,372,403
jazz/The,pop/Day,261071,255291,262045,0,1,4,16,78,382,412
jazz/The,pop/Don't,263700,258018,265049,0,0,1,17,72,367,412
jazz/The,pop/For,257872,249091,258922,0,0,3,20,93,368,412
jazz/The,pop/I,232385,222969,233230,0,0,0,12,82,368,412
jazz/The,pop/i,281911,274154,283275,0,0,4,16,85,380,412
jazz/The,pop/Let's,203189,196388,204622,0,1,5,26,94,372,412
jazz/The,pop/Set,256165,249343,258148,0,0,4,13,84,369,412
jazz/The,pop/The,206095,197951,206942,0,0,6,26,107,378,412
jazz/The,pop/We'll,256641,243623,256993,0,0,5,30,110,386,412
jazz/zero-project,pop/Day,265601,258997,268067,0,1,5,20,100,441,489
jazz/zero-project,pop/Don't,260883,255014,264266,0,0,3,20,92,436,489
jazz/zero-project,pop/For,253928,243649,256763,0,0,1,9,95,438,489
jazz/zero-project,pop/I,230199,218929,232042,0,1,2,14,103,450,489
jazz/zero-project,pop/i,278933,270970,282082,0,0,3,13,81,445,489
jazz/zero-project,pop/Let's,211332,204740,214651,0,0,4,15,82,444,489
jazz/zero-project,pop/Set,251718,242660,256077,0,0,0,8,104,429,489
jazz/zero-project,pop/The,219404,211874,221122,0,0,2,13,98,449,489
jazz/zero-project,pop/We'll,266274,250667,266886,0,1,3,23,112,439,489
jazz/A,rock/All,283126,271137,286083,0,0,0,13,75,373,407
jazz/A,rock/Anything,282234,265623,284579,0,0,2,10,81,367,407
jazz/A,rock/Chased,283015,273576,285961,0,0,0,14,62,369,407
jazz/A,rock/Deep,291694,278558,293786,0,0,1,13,85,368,407
jazz/A,rock/Lift,283331,263936,285909,0,0,2,12,70,368,407
jazz/A,rock/New,285611,263968,287953,0,0,1,13,68,368,407
jazz/A,rock/Perverting,284843,268514,287689,0,0,2,18,82,360,407
jazz/A,rock/Rude,281851,265146,284288,0,0,1,11,70,359,407
jazz/A,rock/Rude,278853,266424,281241,0,0,0,8,56,361,407
jazz/A,rock/Slash,289332,274884,291762,0,0,2,13,70,363,407
jazz/A,rock/The,283873,269606,286617,0,0,1,10,70,350,407
jazz/A,rock/The,291318,278158,293664,0,0,0,4,59,350,407
jazz/Bandoneon,rock/All,260086,258337,261231,0,0,2,8,72,360,413
jazz/Bandoneon,rock/Anything,253744,250409,254803,0,0,3,16,97,374,413
jazz/Bandoneon,rock/Chased,260327,259004,261337,0,0,1,10,79,370,413
jazz/Bandoneon,rock/Deep,281419,280178,282333,0,0,2,8,64,374,413
jazz/Bandoneon,rock/Lift,250011,246668,251133,0,1,2,20,90,381,413
jazz/Bandoneon,rock/New,269035,264562,270184,0,0,4,18,87,376,413
jazz/Bandoneon,rock/Perverting,271371,269733,272558,0,1,4,23,109,384,413
jazz/Bandoneon,rock/Rude,258712,256250,259786,0,1,3,20,84,382,413
jazz/Bandoneon,rock/Rude,231253,229269,232312,0,0,0,17,114,381,413
jazz/Bandoneon,rock/Slash,275753,274006,276870,0,0,2,14,66,382,413
jazz/Bandoneon,rock/The,259590,257463,260580,0,1,7,32,114,389,413
jazz/Bandoneon,rock/The,285285,283439,286136,0,0,0,7,59,366,413
jazz/Birdman,rock/All,262119,257066,262873,0,0,0,10,78,399,442
jazz/Birdman,rock/Anything,257432,251054,258264,0,1,5,32,112,408,442
jazz/Birdman,rock/Chased,263439,259781,264028,0,1,1,20,98,402,442
jazz/Birdman,rock/Deep,282437,278386,283128,0,0,4,12,78,406,442
jazz/Birdman,rock/Lift,255154,247534,255919,0,1,1,21,101,410,442
jazz/Birdman,rock/New,270087,261349,271009,0,0,2,13,97,411,442
jazz/Birdman,rock/Perverting,272849,267371,273687,0,1,4,24,102,402,442
jazz/Birdman,rock/Rude,260668,254892,261363,0,0,2,19,95,405,442
jazz/Birdman,rock/Rude,236538,230949,237226,0,1,4,22,124,409,442
jazz/Birdman,rock/Slash,277267,272362,278097,0,0,1,14,88,405,442
jazz/Birdman,rock/The,262489,257492,263078,0,1,6,28,99,389,442
jazz/Birdman,rock/The,287319,283347,287912,0,0,4,15,82,393,442
jazz/Chinese,rock/All,258131,258135,262164,0,1,6,17,92,420,468
jazz/Chinese,rock/Anything,253164,249836,255978,0,0,5,25,102,423,468
jazz/Chinese,rock/Chased,257536,257819,261353,0,0,1,13,93,415,468
jazz/Chinese,rock/Deep,280059,278224,282208,0,0,3,18,86,425,468
jazz/Chinese,rock/Lift,252469,249099,255818,0,0,6,32,108,434,468
jazz/Chinese,rock/New,267144,262282,269699,0,0,3,20,108,428,468
jazz/Chinese,rock/Perverting,268996,268937,272701,0,1,2,11,98,427,468
jazz/Chinese,rock/Rude,257251,255287,260268,0,0,1,21,99,412,468
jazz/Chinese,rock/Rude,233283,232191,236692,0,0,2,18,105,410,468
jazz/Chinese,rock/Slash,275621,274444,278380,1,1,1,9,60,420,468
jazz/Chinese,rock/The,258804,258575,262653,0,0,4,23,111,427,468
jazz/Chinese,rock/The,282936,282283,285285,0,0,3,9,74,418,468
jazz/Colonially,rock/All,268504,261605,272319,0,0,3,23,101,403,442
jazz/Colonially,rock/Anything,265202,255522,268153,0,1,3,22,109,394,442
jazz/Colonially,rock/Chased,265377,260747,269259,0,0,0,10,80,389,442
jazz/Colonially,rock/Deep,283362,276405,285906,0,1,2,9,86,402,442
jazz/Colonially,rock/Lift,265425,254499,268984,0,2,10,36,108,406,442
jazz/Colonially,rock/New,273585,259392,276503,0,1,3,19,110,403,442
jazz/Colonially,rock/Perverting,272465,264277,276453,0,0,5,28,112,415,442
jazz/Colonially,rock/Rude,266354,256773,269560,0,2,7,23,113,405,442
jazz/Colonially,rock/Rude,250891,243579,254188,0,2,10,27,130,409,442
jazz/Colonially,rock/Slash,283860,276395,286796,0,0,2,19,109,406,442
jazz/Colonially,rock/The,268494,261717,272211,0,1,5,26,125,408,442
jazz/Colonially,rock/The,286921,281148,289545,0,2,4,19,104,412,442
jazz/Michael,rock/All,265923,257460,268918,0,0,0,8,77,384,434
jazz/Michael,rock/Anything,262021,250748,264591,0,0,3,16,86,389,434
jazz/Michael,rock/Chased,267176,261493,270016,0,0,2,8,66,398,434
jazz/Michael,rock/Deep,283687,276093,285940,0,0,0,9,71,388,434
jazz/Michael,rock/Lift,262685,249776,265372,0,1,5,18,96,389,434
jazz/Michael,rock/New,272763,257815,275365,0,0,3,13,93,401,434
jazz/Michael,rock/Perverting,272514,262799,275451,0,0,0,10,88,391,434
jazz/Michael,rock/Rude,264247,253682,266798,0,0,1,19,92,396,434
jazz/Michael,rock/Rude,248611,239873,251220,0,0,0,9,81,400,434
jazz/Michael,rock/Slash,280409,272221,283027,0,0,1,11,74,391,434
jazz/Michael,rock/The,266203,257435,268931,0,1,4,21,90,390,434
jazz/Michael,rock/The,287864,281951,290159,0,0,4,10,69,382,434
jazz/Nadejda,rock/All,259170,257159,260801,0,0,2,11,68,359,403
jazz/Nadejda,rock/Anything,254219,249802,255628,0,2,9,26,111,382,403
jazz/Nadejda,rock/Chased,259513,257639,261022,0,0,1,12,87,366,403
jazz/Nadejda,rock/Deep,281043,278891,282191,0,0,0,11,70,369,403
jazz/Nadejda,rock/Lift,248574,243967,250160,0,2,7,23,98,357,403
jazz/Nadejda,rock/New,268201,262776,269651,0,0,1,14,72,358,403
jazz/Nadejda,rock/Perverting,270726,268490,272361,2,3,10,31,109,372,403
jazz/Nadejda,rock/Rude,257432,254129,258829,0,0,7,36,98,369,403
jazz/Nadejda,rock/Rude,233664,230779,235026,1,2,5,23,87,367,403
jazz/Nadejda,rock/Slash,273792,271340,275176,0,0,2,11,87,381,403
jazz/Nadejda,rock/The,259315,256685,260763,0,0,6,35,127,376,403
jazz/Nadejda,rock/The,284554,282659,285795,0,1,3,9,60,364,403
jazz/The,rock/All,265394,261797,267143,0,0,0,9,74,367,412
jazz/The,rock/Anything,262514,256587,263942,0,0,3,15,76,382,412
jazz/The,rock/Chased,269072,266036,270639,0,0,2,11,82,380,412
jazz/The,rock/Deep,285326,281457,286441,0,0,2,13,77,368,412
jazz/The,rock/Lift,255702,248526,257334,0,1,6,21,86,366,412
jazz/The,rock/New,273861,266131,275362,0,0,2,19,101,378,412
jazz/The,rock/Perverting,276143,271514,277835,0,0,0,13,81,374,412
jazz/The,rock/Rude,265555,260460,266979,0,0,1,17,81,378,412
jazz/The,rock/Rude,245979,241911,247399,0,0,2,13,80,382,412
jazz/The,rock/Slash,276612,272108,278116,0,0,3,11,65,379,412
jazz/The,rock/The,265960,261790,267511,0,0,1,10,87,369,412
jazz/The,rock/The,288256,283761,289462,0,0,0,3,58,366,412
jazz/zero-project,rock/All,261777,257457,266230,0,0,0,11,79,432,489
jazz/zero-project,rock/Anything,258939,252284,262412,0,0,1,16,103,440,489
jazz/zero-project,rock/Chased,258963,257100,263566,0,0,2,10,82,443,489
jazz/zero-project,rock/Deep,280914,276115,283925,0,0,1,9,66,446,489
jazz/zero-project,rock/Lift,255675,247419,259762,0,0,2,11,94,447,489
jazz/zero-project,rock/New,269063,259468,272396,0,0,2,12,107,448,489
